,track name,artist,popularity,track id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,valence,mode,uri
0,Leave a Light On,Tom Walker,83,6lOWoTqVnAWXchddtTH31W,0.624,0.133,68.976,0.113,0.0153,1.78e-06,0.586,5,185863,-5.946,0.267,1,spotify:track:6lOWoTqVnAWXchddtTH31W
1,Paradise,George Ezra,80,38zwkK6TtTjIW9tpYBfZ3D,0.881,0.21,138.03,0.0393,0.209,0.0,0.642,11,222045,-3.537,0.913,1,spotify:track:38zwkK6TtTjIW9tpYBfZ3D
2,This Is Me,Keala Settle,69,2xGjteMU3E1tkEPVFBO08U,0.704,0.0424,191.702,0.186,0.00583,0.000115,0.284,2,234707,-7.276,0.1,1,spotify:track:2xGjteMU3E1tkEPVFBO08U
3,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,88,5CLGzJsGqhCEECcpnFQA8x,0.809,0.165,92.213,0.0474,0.194,0.0,0.653,0,210773,-4.057,0.55,1,spotify:track:5CLGzJsGqhCEECcpnFQA8x
4,Bad Vibe,M.O,74,70eehEqNug7oAhozjhG21t,0.703,0.0913,109.994,0.0417,0.181,0.0,0.809,10,214253,-4.411,0.773,1,spotify:track:70eehEqNug7oAhozjhG21t
5,The Middle,Zedd,89,09IStsImFySgyp0pIQdqAc,0.657,0.112,107.01,0.0449,0.171,0.0,0.753,7,184732,-3.061,0.437,1,spotify:track:09IStsImFySgyp0pIQdqAc
6,Lullaby,Sigala,81,5xzCzOAOfRi4DOttSzvznR,0.834,0.0834,120.026,0.037,0.0784,1.27e-05,0.725,5,204022,-3.913,0.859,0,spotify:track:5xzCzOAOfRi4DOttSzvznR
7,YOSEMITE,Travis Scott,85,7lAK3oHbfEnvUQWosrMMpR,0.565,0.127,128.039,0.0367,0.286,1.65e-05,0.782,4,150043,-6.704,0.149,0,spotify:track:7lAK3oHbfEnvUQWosrMMpR
8,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,78,0ZNrc4kNeQYD9koZ3KvCsy,0.342,0.0874,203.79,0.41,0.00632,0.0,0.748,1,237240,-7.673,0.116,1,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy
9,All Girls Are The Same,Juice WRLD,85,0XySogm94T51XF5F2jumXm,0.529,0.0856,161.989,0.307,0.0769,0.000335,0.671,0,165820,-7.226,0.203,1,spotify:track:0XySogm94T51XF5F2jumXm
10,Wasted (feat. Lil Uzi Vert),Juice WRLD,75,3obgSF06ki98lYNLNq5vCB,0.579,0.0952,144.994,0.202,0.0381,0.0,0.742,0,258475,-5.024,0.502,1,spotify:track:3obgSF06ki98lYNLNq5vCB
11,Fuck Love (feat. Trippie Redd),XXXTENTACION,89,7AQim7LbvFVZJE3O8TYgf2,0.533,0.103,131.036,0.0412,0.0172,0.000152,0.797,0,146520,-9.74,0.329,0,spotify:track:7AQim7LbvFVZJE3O8TYgf2
12,Lean Wit Me,Juice WRLD,81,29tc0GbW0pTSBZSCZF3NWk,0.651,0.0896,163.935,0.156,0.0414,0.0,0.665,1,175755,-5.515,0.237,1,spotify:track:29tc0GbW0pTSBZSCZF3NWk
13,CAROUSEL,Travis Scott,86,7KZ5MMVgBVox9ycroB2UrI,0.404,0.216,140.097,0.118,0.233,0.0,0.605,5,180183,-5.918,0.149,0,spotify:track:7KZ5MMVgBVox9ycroB2UrI
14,Look Alive (feat. Drake),BlocBoy JB,88,4qKcDkK6siZ7Jp1Jb4m0aL,0.581,0.105,140.022,0.27,0.00104,5.86e-05,0.922,10,181263,-7.495,0.595,1,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL
15,WAKE UP,Travis Scott,85,20MuVazoNMv6xjKPnRFOxG,0.645,0.163,149.068,0.0963,0.191,0.0,0.745,11,231964,-5.113,0.476,0,spotify:track:20MuVazoNMv6xjKPnRFOxG
16,CAN'T SAY,Travis Scott,84,27a1mYSG5tYg7dmEjWBcmL,0.708,0.118,148.054,0.0552,0.2,0.0,0.699,10,198408,-5.365,0.689,0,spotify:track:27a1mYSG5tYg7dmEjWBcmL
17,BUTTERFLY EFFECT,Travis Scott,40,6xcJyGpfZbuuiequtnlKt4,0.628,0.114,140.963,0.0503,0.053,0.0,0.764,11,190557,-5.851,0.196,1,spotify:track:6xcJyGpfZbuuiequtnlKt4
18,I'm Upset,Drake,82,3qN5qMTKyEEmiTZD38BNTT,0.586,0.0836,150.001,0.344,0.279,0.0,0.899,11,214467,-7.866,0.492,0,spotify:track:3qN5qMTKyEEmiTZD38BNTT
19,SWISH,Tyga,85,55GiOwtxNajXVbpjjIzMnD,0.541,0.118,105.009,0.221,0.0831,0.0,0.884,11,194936,-5.608,0.274,1,spotify:track:55GiOwtxNajXVbpjjIzMnD
20,I Fall Apart,Post Malone,85,75ZvA4QfFiZvzhj2xkaWAh,0.538,0.196,143.95,0.0382,0.0689,0.0,0.556,8,223347,-5.408,0.291,0,spotify:track:75ZvA4QfFiZvzhj2xkaWAh
21,NO BYSTANDERS,Travis Scott,84,6OaVWaGfhXn70ZJfdVcabn,0.812,0.466,147.053,0.0723,0.0211,0.0,0.731,1,218284,-3.234,0.428,1,spotify:track:6OaVWaGfhXn70ZJfdVcabn
22,R.I.P. SCREW,Travis Scott,84,4SZepBIPDRwPaHIjAKwRDb,0.609,0.111,149.843,0.159,0.388,1.48e-05,0.754,0,185610,-5.976,0.563,0,spotify:track:4SZepBIPDRwPaHIjAKwRDb
23,STOP TRYING TO BE GOD,Travis Scott,84,1xYpVRspgaLxdJLOTQkTjg,0.568,0.135,149.998,0.0608,0.218,0.0,0.593,4,338438,-3.733,0.118,0,spotify:track:1xYpVRspgaLxdJLOTQkTjg
24,Healing Hands,Conrad Sewell,50,1LwnqPolBLuhZKp8zAwaIz,0.764,0.0735,105.004,0.0678,0.127,0.0,0.672,0,250821,-5.067,0.438,1,spotify:track:1LwnqPolBLuhZKp8zAwaIz
25,Never Ever (feat. Sarah),The Rubens,66,4E2s2lCNKxbWJMwHPMzOfq,0.399,0.124,111.893,0.04,0.398,0.0,0.729,6,199787,-7.159,0.239,0,spotify:track:4E2s2lCNKxbWJMwHPMzOfq
26,lovely (with Khalid),Billie Eilish,89,0u2P5u6lvoDfwTYjAADbn4,0.296,0.095,115.284,0.0333,0.934,0.0,0.351,4,200186,-10.109,0.12,0,spotify:track:0u2P5u6lvoDfwTYjAADbn4
27,Fire,Peking Duk,74,3BZkEOJwKUYRlkLWZB1izC,0.69,0.07,99.949,0.054,0.0257,8.92e-06,0.679,1,226350,-2.744,0.648,0,spotify:track:3BZkEOJwKUYRlkLWZB1izC
28,Hurt Somebody,Noah Kahan,54,7apizLyhMRutg3ccXvr2qv,0.559,0.262,114.983,0.313,0.338,0.0,0.633,6,168640,-5.135,0.473,1,spotify:track:7apizLyhMRutg3ccXvr2qv
29,I Wanna Know (feat. Bea Miller),NOTD,82,18W92Zm1KjLCbUIszOhpkD,0.725,0.123,119.927,0.0563,0.0253,0.0,0.661,6,197939,-4.859,0.605,1,spotify:track:18W92Zm1KjLCbUIszOhpkD
30,Just Friends,Hayden James,65,6tB4XVKceo2307SSWXaO0y,0.685,0.143,110.041,0.049,0.105,0.0,0.639,9,238991,-4.571,0.363,0,spotify:track:6tB4XVKceo2307SSWXaO0y
31,you should see me in a crown,Billie Eilish,84,6vsV4D8BM6PioRr1UOx0n2,0.552,0.147,75.235,0.196,0.479,0.127,0.697,1,180567,-10.271,0.278,0,spotify:track:6vsV4D8BM6PioRr1UOx0n2
32,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,84,2lYTJK94hb0fd1LQtb6Dhk,0.738,0.115,127.95,0.0477,0.118,0.0,0.659,4,183750,-5.072,0.481,0,spotify:track:2lYTJK94hb0fd1LQtb6Dhk
33,Ball For Me (feat. Nicki Minaj),Post Malone,86,6IaieqiCVvsNvEt6Y7yOFa,0.56,0.0849,134.044,0.225,0.493,0.0,0.792,9,206267,-4.125,0.505,1,spotify:track:6IaieqiCVvsNvEt6Y7yOFa
