,track name,artist,popularity,track id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,valence,mode,uri
0,Utrecht,il:lo,31,3ADoi5uRGmlmpNoR2LKXrM,0.7,0.364,124.971,0.027,0.269,0.898,0.604,9,376875,-8.799,0.203,0,spotify:track:3ADoi5uRGmlmpNoR2LKXrM
1,Kozina,il:lo,28,25u7EZ4eiTiUP0IMPiGOVj,0.778,0.0808,110.01,0.0344,0.0978,0.907,0.576,8,281313,-9.365,0.118,0,spotify:track:25u7EZ4eiTiUP0IMPiGOVj
2,Concrete Heartbeat,The Lost Electric,15,3eXOzLl7KjJHoOPeXUsDAB,0.75,0.139,179.954,0.0643,0.0118,0.000272,0.398,1,170965,-6.191,0.54,0,spotify:track:3eXOzLl7KjJHoOPeXUsDAB
3,It's Not Getting Better,SPINN,46,18ajtDWQLG9sun19VXgyf3,0.871,0.283,125.962,0.0364,0.00226,0.0288,0.594,8,240088,-5.512,0.607,1,spotify:track:18ajtDWQLG9sun19VXgyf3
4,TOOTIMETOOTIMETOOTIME,The 1975,0,6wvlEKW2qxucJSBXYpMV2P,0.827,0.086,115.014,0.0624,0.166,0.0165,0.662,8,208742,-5.891,0.477,1,spotify:track:6wvlEKW2qxucJSBXYpMV2P
5,Winter Song,Ingrid Michaelson,35,3hbjGZXUCqpn7E8c88qQvA,0.139,0.133,81.137,0.0361,0.964,2.88e-05,0.574,1,267267,-14.155,0.228,1,spotify:track:3hbjGZXUCqpn7E8c88qQvA
6,306 ◑,HONNE,55,2Bjv8Dkxq9FYmGHcyqHRLF,0.587,0.272,121.943,0.0353,0.0638,0.0,0.725,6,235757,-7.284,0.439,1,spotify:track:2Bjv8Dkxq9FYmGHcyqHRLF
7,Hearts,Blackbird Blackbird,53,0eBWx5UyJmmBVBgMGiEY7V,0.473,0.0843,149.971,0.0293,0.582,0.899,0.524,9,252000,-10.569,0.22,0,spotify:track:0eBWx5UyJmmBVBgMGiEY7V
8,Hot Like Sauce,Pretty Lights,47,7zbq8RT5Kd3ExOGVTiUQbR,0.615,0.561,89.994,0.0324,0.00134,0.0406,0.707,2,421332,-5.75,0.113,1,spotify:track:7zbq8RT5Kd3ExOGVTiUQbR
9,Caves,Haux,32,6aJk1DTd869njAOo3rtbao,0.318,0.123,130.11,0.0392,0.289,0.397,0.554,3,233240,-13.288,0.0565,0,spotify:track:6aJk1DTd869njAOo3rtbao
10,Turquoise,Koresma,29,0zLTaRFXctiTDzwOLlPAQ6,0.767,0.24,93.37,0.0641,0.77,0.068,0.387,6,203141,-5.889,0.172,0,spotify:track:0zLTaRFXctiTDzwOLlPAQ6
11,No Ordinary Life,Matt Corby,54,6RQQaMjzWHRwiBXZvIqOxH,0.783,0.196,147.951,0.0459,0.127,6.74e-06,0.464,10,239077,-7.206,0.144,1,spotify:track:6RQQaMjzWHRwiBXZvIqOxH
12,Thinking Of A Place,The War On Drugs,59,4Sd5tbNP4q8wS64abqwfkN,0.632,0.116,103.323,0.0333,0.385,0.0817,0.481,11,670667,-7.117,0.156,1,spotify:track:4Sd5tbNP4q8wS64abqwfkN
13,Jhana,il:lo,32,61L73KLPeANa5GMvqH3Vga,0.631,0.0993,120.006,0.0332,0.613,0.912,0.625,7,285640,-8.809,0.0367,0,spotify:track:61L73KLPeANa5GMvqH3Vga
14,Vega,il:lo,39,34lnqHyDk2kXYNXmcVHDR2,0.654,0.118,108.018,0.0291,0.415,0.784,0.587,6,231111,-9.377,0.192,0,spotify:track:34lnqHyDk2kXYNXmcVHDR2
15,0404,il:lo,35,1fASDG4X3YAdYt2u4234Sz,0.817,0.112,109.985,0.0333,0.436,0.844,0.622,7,243601,-8.031,0.0395,1,spotify:track:1fASDG4X3YAdYt2u4234Sz
16,Rise,Jonas Blue,94,3u1S1OmAUhx5DRlLrXqyp3,0.784,0.203,106.066,0.032,0.323,0.0,0.69,1,194408,-4.653,0.669,1,spotify:track:3u1S1OmAUhx5DRlLrXqyp3
17,Thru These Tears,LANY,81,4gB61mP4tNChn4LgfquMhi,0.517,0.149,119.945,0.0391,0.154,0.0,0.711,11,204516,-7.695,0.294,1,spotify:track:4gB61mP4tNChn4LgfquMhi
18,Love It If We Made It,The 1975,72,7MRY4VpCuZvBmFda6ZCk2G,0.727,0.0644,180.09,0.0357,0.000718,1.97e-05,0.479,4,253249,-5.369,0.0577,1,spotify:track:7MRY4VpCuZvBmFda6ZCk2G
19,Bridges,Koresma,43,5GiEgcvmqbD1WgHzICDvOb,0.708,0.1,90.032,0.0341,0.737,0.651,0.72,1,221333,-5.21,0.15,0,spotify:track:5GiEgcvmqbD1WgHzICDvOb
